,model,category,language,frame_type,instance,prompt,total_logprob,avg_logprob
34,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,starfish,One example of a animal is ___.,-14.625,-7.3125
35,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,swan,One example of a animal is ___.,-14.17578125,-7.087890625
36,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,tarantula,One example of a animal is ___.,-15.578125,-5.192708333333333
37,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,tick,One example of a animal is ___.,-14.0625,-14.0625
38,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,toad,One example of a animal is ___.,-14.46875,-7.234375
39,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,turtle,One example of a animal is ___.,-14.4375,-14.4375
40,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,aardvark,One example of a animal is ___.,-12.48095703125,-3.1202392578125
41,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,alligator,One example of a animal is ___.,-13.328125,-6.6640625
42,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,alpaca,One example of a animal is ___.,-14.6920166015625,-4.8973388671875
43,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,anteater,One example of a animal is ___.,-13.43359375,-6.716796875
44,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,antelope,One example of a animal is ___.,-11.515625,-5.7578125
45,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,badger,One example of a animal is ___.,-13.48046875,-6.740234375
46,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,barnacle,One example of a animal is ___.,-13.34375,-6.671875
47,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bat,One example of a animal is ___.,-14.0625,-14.0625
48,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bear,One example of a animal is ___.,-14.1875,-14.1875
49,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,beaver,One example of a animal is ___.,-15.03125,-7.515625
50,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bison,One example of a animal is ___.,-15.5625,-7.78125
51,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,blowfish,One example of a animal is ___.,-17.6171875,-8.80859375
52,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,boar,One example of a animal is ___.,-15.421875,-7.7109375
53,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bug,One example of a animal is ___.,-14.875,-14.875
54,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,bull,One example of a animal is ___.,-14.25,-14.25
55,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,calf,One example of a animal is ___.,-15.0625,-15.0625
56,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,camel,One example of a animal is ___.,-14.0625,-14.0625
57,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cardinal,One example of a animal is ___.,-15.375,-15.375
58,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cat,One example of a animal is ___.,-11.375,-11.375
59,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,caterpillar,One example of a animal is ___.,-13.859375,-6.9296875
60,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,catfish,One example of a animal is ___.,-19.3125,-9.65625
61,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cheetah,One example of a animal is ___.,-12.964584350585938,-4.3215281168619795
62,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,chick,One example of a animal is ___.,-14.5,-14.5
63,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,chicken,One example of a animal is ___.,-13.8125,-13.8125
64,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,chihuahua,One example of a animal is ___.,-14.389312744140625,-3.5973281860351562
65,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,chinchilla,One example of a animal is ___.,-15.15625,-5.052083333333333
66,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,chipmunk,One example of a animal is ___.,-14.94921875,-4.983072916666667
67,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,clam,One example of a animal is ___.,-14.1875,-14.1875
68,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cobra,One example of a animal is ___.,-14.875,-7.4375
69,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cockatoo,One example of a animal is ___.,-17.690948486328125,-5.896982828776042
70,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,coral,One example of a animal is ___.,-13.0625,-13.0625
71,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cougar,One example of a animal is ___.,-15.1875,-15.1875
72,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,cow,One example of a animal is ___.,-12.75,-12.75
73,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,coyote,One example of a animal is ___.,-13.23828125,-6.619140625
74,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,crab,One example of a animal is ___.,-14.8125,-14.8125
75,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,crayfish,One example of a animal is ___.,-14.490234375,-7.2451171875
76,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,dalmatian,One example of a animal is ___.,-17.83203125,-4.4580078125
77,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,deer,One example of a animal is ___.,-12.1875,-12.1875
78,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,dog,One example of a animal is ___.,-11.625,-11.625
79,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,dolphin,One example of a animal is ___.,-15.5625,-15.5625
80,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,donkey,One example of a animal is ___.,-14.296875,-7.1484375
81,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,duckling,One example of a animal is ___.,-18.28125,-9.140625
82,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,earwig,One example of a animal is ___.,-17.609375,-8.8046875
83,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,eel,One example of a animal is ___.,-15.65625,-7.828125
84,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,elephant,One example of a animal is ___.,-12.4375,-12.4375
85,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,ferret,One example of a animal is ___.,-15.1484375,-7.57421875
86,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,fish,One example of a animal is ___.,-11.625,-11.625
87,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,fly,One example of a animal is ___.,-13.6875,-13.6875
88,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,fox,One example of a animal is ___.,-13.0625,-13.0625
89,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,gazelle,One example of a animal is ___.,-13.27734375,-6.638671875
90,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,giraffe,One example of a animal is ___.,-15.173828125,-7.5869140625
91,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,goat,One example of a animal is ___.,-15.1875,-15.1875
92,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,goldfish,One example of a animal is ___.,-14.404296875,-7.2021484375
93,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,goose,One example of a animal is ___.,-15.125,-15.125
94,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,gopher,One example of a animal is ___.,-14.96875,-7.484375
95,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,gorilla,One example of a animal is ___.,-14.0400390625,-7.02001953125
96,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,groundhog,One example of a animal is ___.,-15.2421875,-7.62109375
97,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,guinea pig,One example of a animal is ___.,-14.1015625,-4.700520833333333
98,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,hamster,One example of a animal is ___.,-14.169921875,-7.0849609375
99,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,hedgehog,One example of a animal is ___.,-13.44140625,-6.720703125
100,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,hippopotamus,One example of a animal is ___.,-15.84521484375,-5.28173828125
101,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,horse,One example of a animal is ___.,-12.3125,-12.3125
102,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,hyena,One example of a animal is ___.,-14.19140625,-7.095703125
103,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,jellyfish,One example of a animal is ___.,-13.75,-6.875
104,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,kangaroo,One example of a animal is ___.,-13.90673828125,-6.953369140625
105,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,kitten,One example of a animal is ___.,-14.1875,-14.1875
106,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,koala,One example of a animal is ___.,-14.73828125,-7.369140625
107,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,lamb,One example of a animal is ___.,-15.5625,-15.5625
108,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,leech,One example of a animal is ___.,-17.28125,-8.640625
109,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,leopard,One example of a animal is ___.,-12.75,-12.75
110,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,lightning bug,One example of a animal is ___.,-18.53125,-9.265625
111,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,lion,One example of a animal is ___.,-11.4375,-11.4375
112,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,llama,One example of a animal is ___.,-17.375,-17.375
113,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,lobster,One example of a animal is ___.,-16.0,-16.0
114,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,maggot,One example of a animal is ___.,-15.6171875,-7.80859375
115,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,manatee,One example of a animal is ___.,-14.671875,-7.3359375
116,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,meerkat,One example of a animal is ___.,-13.4755859375,-4.491861979166667
117,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,mole,One example of a animal is ___.,-15.75,-15.75
118,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,mongoose,One example of a animal is ___.,-14.875,-14.875
119,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,monkey,One example of a animal is ___.,-13.5,-13.5
120,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,moose,One example of a animal is ___.,-13.0009765625,-6.50048828125
121,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,moth,One example of a animal is ___.,-13.5,-13.5
122,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,mouse,One example of a animal is ___.,-13.0,-13.0
123,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,mussel,One example of a animal is ___.,-15.39013671875,-7.695068359375
124,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,octopus,One example of a animal is ___.,-13.720703125,-6.8603515625
125,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,orangutan,One example of a animal is ___.,-14.0546875,-7.02734375
126,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,otter,One example of a animal is ___.,-13.73828125,-6.869140625
127,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,oyster,One example of a animal is ___.,-15.03125,-7.515625
128,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,panda,One example of a animal is ___.,-14.5,-14.5
129,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,panther,One example of a animal is ___.,-13.90625,-6.953125
130,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,pig,One example of a animal is ___.,-13.625,-13.625
131,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,pigeon,One example of a animal is ___.,-15.125,-15.125
132,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,piglet,One example of a animal is ___.,-18.78125,-9.390625
133,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,platypus,One example of a animal is ___.,-12.6866455078125,-4.2288818359375
134,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,polar bear,One example of a animal is ___.,-13.796875,-6.8984375
135,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,pony,One example of a animal is ___.,-14.0625,-14.0625
136,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,poodle,One example of a animal is ___.,-15.46875,-7.734375
137,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,porcupine,One example of a animal is ___.,-12.763916015625,-4.254638671875
138,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,possum,One example of a animal is ___.,-14.92578125,-7.462890625
139,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,praying mantis,One example of a animal is ___.,-15.819244384765625,-5.273081461588542
140,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,puffin,One example of a animal is ___.,-15.45703125,-7.728515625
141,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,pug,One example of a animal is ___.,-14.328125,-7.1640625
142,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,puppy,One example of a animal is ___.,-13.25,-13.25
143,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,rabbit,One example of a animal is ___.,-13.1875,-13.1875
144,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,raccoon,One example of a animal is ___.,-13.6904296875,-6.84521484375
145,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,ram,One example of a animal is ___.,-15.5625,-15.5625
146,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,rat,One example of a animal is ___.,-13.75,-13.75
147,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,rattlesnake,One example of a animal is ___.,-15.1685791015625,-3.792144775390625
148,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,reindeer,One example of a animal is ___.,-16.521728515625,-8.2608642578125
149,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,rhinoceros,One example of a animal is ___.,-13.0689697265625,-3.267242431640625
150,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,sardine,One example of a animal is ___.,-16.48828125,-5.49609375
151,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,scallop,One example of a animal is ___.,-15.28125,-7.640625
152,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,scorpion,One example of a animal is ___.,-13.40625,-6.703125
153,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,sea urchin,One example of a animal is ___.,-16.24468994140625,-4.0611724853515625
154,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,seal,One example of a animal is ___.,-13.375,-13.375
155,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,shark,One example of a animal is ___.,-13.1875,-13.1875
156,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,sheep,One example of a animal is ___.,-12.5625,-12.5625
157,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,shrimp,One example of a animal is ___.,-15.0625,-15.0625
158,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,skunk,One example of a animal is ___.,-13.68359375,-6.841796875
159,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,sloth,One example of a animal is ___.,-13.732421875,-6.8662109375
160,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,slug,One example of a animal is ___.,-13.1875,-13.1875
161,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,snail,One example of a animal is ___.,-12.498046875,-6.2490234375
162,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,squid,One example of a animal is ___.,-16.0,-16.0
163,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,squirrel,One example of a animal is ___.,-14.6875,-14.6875
164,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,stingray,One example of a animal is ___.,-15.2734375,-7.63671875
165,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,swordfish,One example of a animal is ___.,-15.73828125,-7.869140625
166,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,tadpole,One example of a animal is ___.,-15.83203125,-7.916015625
167,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,tiger,One example of a animal is ___.,-11.625,-11.625
168,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,toucan,One example of a animal is ___.,-15.576171875,-7.7880859375
169,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,turkey,One example of a animal is ___.,-14.5625,-14.5625
170,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,walrus,One example of a animal is ___.,-15.45703125,-7.728515625
171,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,warthog,One example of a animal is ___.,-15.25830078125,-5.086100260416667
172,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,weasel,One example of a animal is ___.,-18.625,-9.3125
173,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,whale,One example of a animal is ___.,-14.0,-14.0
174,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,wolf,One example of a animal is ___.,-13.25,-13.25
175,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,yak,One example of a animal is ___.,-16.625,-16.625
176,meta-llama/Llama-3.1-8B-Instruct,animal,en,generic,zebra,One example of a animal is ___.,-12.1953125,-6.09765625
177,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,ant,Name an example of a animal: ___,-9.3125,-9.3125
178,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,bee,Name an example of a animal: ___,-11.25,-11.25
179,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,butterfly,Name an example of a animal: ___,-9.625,-9.625
180,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,crow,Name an example of a animal: ___,-10.0,-10.0
181,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,duck,Name an example of a animal: ___,-9.4375,-9.4375
182,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,eagle,Name an example of a animal: ___,-9.375,-9.375
183,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,frog,Name an example of a animal: ___,-9.3125,-9.3125
184,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,hummingbird,Name an example of a animal: ___,-11.92236328125,-5.961181640625
185,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,iguana,Name an example of a animal: ___,-12.654144287109375,-4.218048095703125
186,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,lizard,Name an example of a animal: ___,-9.5,-9.5
187,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,owl,Name an example of a animal: ___,-8.4375,-8.4375
188,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,parrot,Name an example of a animal: ___,-9.402099609375,-4.7010498046875
189,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,seagull,Name an example of a animal: ___,-13.66845703125,-4.55615234375
190,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,snake,Name an example of a animal: ___,-8.625,-8.625
191,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,spider,Name an example of a animal: ___,-10.25,-10.25
192,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,vulture,Name an example of a animal: ___,-11.46484375,-5.732421875
193,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,wasp,Name an example of a animal: ___,-10.03125,-5.015625
194,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,worm,Name an example of a animal: ___,-11.25,-11.25
195,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,beetle,Name an example of a animal: ___,-11.125,-11.125
196,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,bird,Name an example of a animal: ___,-8.125,-8.125
197,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,cockroach,Name an example of a animal: ___,-14.12890625,-7.064453125
198,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,dragonfly,Name an example of a animal: ___,-14.96875,-7.484375
199,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,flamingo,Name an example of a animal: ___,-11.40673828125,-5.703369140625
200,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,grasshopper,Name an example of a animal: ___,-12.78302001953125,-4.261006673177083
201,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,hawk,Name an example of a animal: ___,-11.5,-11.5
202,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,ladybug,Name an example of a animal: ___,-11.064453125,-5.5322265625
203,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,mosquito,Name an example of a animal: ___,-12.75,-12.75
204,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,ostrich,Name an example of a animal: ___,-10.015869140625,-5.0079345703125
205,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,peacock,Name an example of a animal: ___,-11.57177734375,-5.785888671875
206,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,pelican,Name an example of a animal: ___,-11.285400390625,-5.6427001953125
207,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,penguin,Name an example of a animal: ___,-8.1484375,-4.07421875
208,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,pheasant,Name an example of a animal: ___,-11.7763671875,-3.9254557291666665
209,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,rooster,Name an example of a animal: ___,-13.203125,-6.6015625
210,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,seahorse,Name an example of a animal: ___,-10.87109375,-3.6236979166666665
211,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,starfish,Name an example of a animal: ___,-11.93310546875,-5.966552734375
212,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,swan,Name an example of a animal: ___,-13.5869140625,-6.79345703125
213,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,tarantula,Name an example of a animal: ___,-11.22607421875,-3.7420247395833335
214,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,tick,Name an example of a animal: ___,-13.125,-13.125
215,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,toad,Name an example of a animal: ___,-10.03125,-5.015625
216,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,turtle,Name an example of a animal: ___,-9.3125,-9.3125
217,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,aardvark,Name an example of a animal: ___,-7.20361328125,-1.8009033203125
218,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,alligator,Name an example of a animal: ___,-10.482421875,-5.2412109375
219,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,alpaca,Name an example of a animal: ___,-12.388916015625,-4.129638671875
220,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,anteater,Name an example of a animal: ___,-10.7109375,-5.35546875
221,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,antelope,Name an example of a animal: ___,-10.0,-5.0
222,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,badger,Name an example of a animal: ___,-11.15185546875,-5.575927734375
223,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,barnacle,Name an example of a animal: ___,-14.5390625,-7.26953125
224,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,bat,Name an example of a animal: ___,-8.4375,-8.4375
225,meta-llama/Llama-3.1-8B-Instruct,animal,en,indefinite_prod,bear,Name an example of a animal: ___,-7.1875,-7.1875
